title,url,description,image,bgcolor,geocodes,year
Local indicators,/areas/{slug}/indicators,"See how {name,the} compares to the rest of the UK across a variety of measures.",/img/local-statistics-thumb.png,#004C6A,E92|N92|S92|W92|E12|E47|E06|E07|E08|E09|E10|N09|S12|W06,
Housing prices,https://www.ons.gov.uk/visualisations/housingpriceslocal/{areacd}/,"See how average house prices and rents are changing {name,in}",https://www.ons.gov.uk/resource?uri=/economy/inflationandpriceindices/articles/housingpricesinyourarea/2024-03-20/a02cc22f.png,#99dadb,E06|E07|E08|E09|S12|W06,2023
Census maps,https://www.ons.gov.uk/census/maps/?{groupcd}={areacd},"View Census 2021 data for {name,the} on a map.",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/articles/censusmaps/2022-11-02/b178c24d.png,#3C388E,K04|E06|E07|E08|E09|W06|E02|W02|E00|W00,2022
Changes over time,https://www.ons.gov.uk/visualisations/censusareachanges/{areacd}/,"Read how {name,the} has changed since the 2011 Census.",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/articles/howyourareahaschangedin10yearscensus2021/2022-11-08/9724e5a9.png,#6360A5,E06|E07|E08|E09|W06,2022
Custom profiles,https://www.ons.gov.uk/visualisations/customprofiles/build/#{areacd},"Build a custom area profile for {name,the} using Census 2021 data.",/img/custom-profiles-thumb.png,#206095,E00|E01|E02|E04|E05|E06|E07|E08|E09|E10|E11|E12|E14|E47|E92|W00|W01|W02|W04|W05|W06|W07|W09|W10|W92,
Area profiles,https://www.nomisweb.co.uk/sources/census_2021/report?compare={areacd},"View Census 2021 data tables for {name,the} on Nomis, an ONS service (external).",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/articles/deathsathomeincreasedbyathirdin2020whiledeathsinhospitalsfellexceptforcovid19/2021-05-07/6a9221c2.png,#003C57,E92|W92|E12|E06|E07|E08|E09|E10|W06,2022
Mortgage calculator,https://www.ons.gov.uk/peoplepopulationandcommunity/housing/articles/howaremonthlymortgagerepaymentschangingingreatbritain/2023-03-08#{areacd},"See how average house prices and changing interest rates affecting monthly mortgage repayments {name,in}.",/img/mortgage-calc-thumb.png,#206095,E06|E07|E08|E09|W06|S12,2022
Census quiz,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/articles/playthecensus2021quizhowwelldoyouknowyourarea/2022-12-02#{areacd},"Take our quiz and test your knowledge of {name,the}.",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/articles/playthecensus2021quizhowwelldoyouknowyourarea/2022-12-02/fb4bf171.png,#4DBFC1,E06|E07|E08|E09|W06,2022
Health index,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/articles/howhealthhaschangedinyourarea2015to2021/2023-06-16#{areacd},"See how {name,the} compares to the rest of England on different health measures.",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/articles/howhealthhaschangedinyourlocalarea/2022-03-18/eb698ff5.png,#1D5F97,E06|E07|E08|E09,2022
Income deprivation,https://www.ons.gov.uk/visualisations/dvc1371/#/{areacd},"Explore income deprivation {name,in} at a neighbourhood level.",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/articles/mappingincomedeprivationatalocalauthoritylevel/2021-05-24/96c97858.png,#003C57,E06|E07|E08|E09,2022
Facts and figures,https://statistics.gov.scot/atlas/resource?uri=http://statistics.gov.scot/id/statistical-geography/{areacd},"Get facts, figures and datasets for {name,the} from statistics.gov.scot (external).",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/articles/deathsathomeincreasedbyathirdin2020whiledeathsinhospitalsfellexceptforcovid19/2021-05-07/6a9221c2.png,#003C57,S92|S12|S16,
Area explorer,https://explore.nisra.gov.uk/area-explorer-2021/{areacd},"Get Census 2021 facts and figures for {name,the} from NISRA (external).",https://www.ons.gov.uk/resource?uri=/peoplepopulationandcommunity/culturalidentity/ethnicity/articles/ethnicgroupdifferencesinhealthemploymenteducationandhousingshowninenglandandwalescensus2021/2023-03-15/6dccd905.png,#902082,N92|N09,
Local Statistics Explorer,https://explore.nisra.gov.uk/local-stats/{areacd},"Explore a range of local area statistics in {name,the} from NISRA (external).",/img/custom-profiles-NI-thumb.png,#206095,N92|N09,
